month,overall,public_housing,1-room_2-room,3-room,4-room,5-room_and_executive,private_housing,private_apts_and_condo,landed_properties,others
2019-01,401.3,322.8,153.6,252.1,334.2,401.2,601.2,483.4,1108.2,746
2019-02,408.3,328.8,154,255.1,339.4,410.7,613,492.8,1133.1,748.9
2019-03,395.1,313.6,147.2,241.1,324.1,393.7,602.4,486.2,1098.5,710.2
2019-04,426.9,341.7,159.9,266.1,353.2,426,642,523.8,1149.1,754.1
2019-05,450,360.7,166.6,279.4,373.6,452.6,677.4,557.9,1197.6,779.2
2019-06,449.6,364,168.4,275.7,378.2,462.2,663.9,546.6,1177,769.8
2019-07,433.7,354.6,163.9,270.2,368.8,447.9,632.8,517.1,1139.9,739
2019-08,449.3,366.3,169.7,281.5,380.2,461.8,658.6,534.9,1205.4,734
2019-09,466.3,375.2,171.3,286.5,389.1,476.2,696.9,565.7,1275.8,827.8
2019-10,451.4,359.5,165.3,274.4,372.9,456.5,685.1,558.7,1243.8,781.1
2019-11,435.2,347.9,162,266.1,361.8,439.9,657.8,537.1,1191.8,767.7
2019-12,400.6,322,151.5,247.8,334.5,406.4,601.1,490.6,1089.8,699
2005-01,418.1,330.9,135.2,241.7,345.6,422,751.4,624.8,1037.7,594.2
2005-02,408.3,319.1,129,235.2,333.6,405.1,749.8,619.2,1044.8,572.7
2005-03,446.9,347.6,131.5,253.1,363.4,445.4,825.2,679.3,1157.1,637.1
2005-04,496.2,389.7,148,280.3,407.4,501.9,900.8,759.2,1224.8,723.3
2005-05,496.8,388,147,281,404.9,498.9,909.9,772.9,1224.2,693.5
2005-06,519.7,408.2,151.1,294.7,427.4,524.4,941.9,796,1277.9,711.8
2005-07,497.7,393.3,147.8,283.8,410.7,506.2,890.6,754.1,1206.7,622.7
2005-08,489.3,387.2,148.8,283.3,403.8,495,872.3,733.1,1196.3,604.5
2005-09,477.7,376.7,141.2,272.9,393.6,482.8,856,717.7,1178.9,605.1
2005-10,480.8,374.4,139.7,272.1,390.9,479.1,877.9,739.5,1202.2,644.3
2005-11,479.7,375.5,140.4,272,392.2,480.5,866.8,732.1,1183.5,640.7
2005-12,441.6,347,132.7,254.4,361.3,441.8,791.2,662.8,1094.4,569.7
2006-01,430.5,340.7,131.1,245.9,354.7,436.1,761.7,640.6,1048.8,549.4
2006-02,418.2,327.1,125.2,239.3,339.4,417.1,752.9,621.4,1065.5,531.7
2006-03,433.6,336.4,124.8,244.2,350.6,428.9,789.2,649.9,1121.7,561.3
2006-04,472.2,366.9,137.1,267.3,381.5,467.4,857.6,719.2,1187.9,638.3
2006-05,481.2,374.9,139.5,273.1,389.7,477.6,868.8,737.4,1182.8,626.3
2006-06,491.1,386.7,142.5,280.6,402.1,493.1,871.3,739.9,1185.6,615.8
2006-07,472.6,373,138.7,270.1,386.9,476.9,835.4,710.2,1135.4,594.7
2006-08,500.8,393.7,143.6,283.6,409.8,503.1,888.9,749.4,1225.3,587.9
2006-09,498.7,390.3,143.9,281.4,405,499.7,892.4,754,1225.7,612
2006-10,483.3,376.1,141.1,273.2,390.2,479.5,869.7,729,1210,656.4
2006-11,491.2,384.3,143.5,276.1,398.9,492.3,875,740.5,1201.7,634.3
2006-12,454.1,355.2,135.9,257.5,368,453.3,809.2,682.7,1116.5,568.9
2007-01,434,342.3,133.7,248.3,355.1,435.9,761.4,638.9,1060.8,570.6
2007-02,407.2,319,128,236.3,329.6,403.2,721.5,596.4,1027.7,521.1
2007-03,413.5,322,123.8,233.7,333.7,410.4,739.1,611.8,1050.8,546
2007-04,467.1,365.3,136.1,265.1,379.8,464.8,828.7,692.1,1164.3,647.5
2007-05,495.8,386.8,145.7,281.1,401.4,492.5,883.2,752.3,1204.7,634.1
2007-06,507.8,398.5,148.9,289.4,413.5,507.7,896.9,761.4,1228.7,679.6
2007-07,513.8,402.1,150.8,292,416.3,513,910.9,772.7,1249.9,666.1
2007-08,505.8,398.3,147.8,290.1,413.1,506.7,887.5,748.8,1228,644.9
2007-09,467.8,368.7,143.7,269.7,381.5,468.3,818.8,690.2,1135.6,636.1
2007-10,468.2,367,139.5,266.2,379.8,468.1,827.5,689.9,1166.8,664.8
2007-11,497.9,389,149.3,284.1,403,493.9,884,741.2,1237.1,700.1
2007-12,444.9,349.2,137.7,257,361,441.9,785.1,656,1103.7,596.8
2008-01,424,335.7,135.3,247.1,346.6,424.9,738.4,612.5,1048.7,593.9
2008-02,429,335.6,133.4,248.3,346.6,423.9,761.6,622.9,1104.2,591.1
2008-03,406.8,316,125.8,233,325.9,399.9,729.8,604,1040.9,558.5
2008-04,444.3,351.6,137.2,258.2,363.4,445.2,773.7,643.5,1097.1,593.7
2008-05,491,386,148.7,284.3,399.1,487.9,862.4,725.4,1204.7,666.1
2008-06,516.3,400.1,153.6,296.8,412.5,505.6,926,779.3,1293.8,732.8
2008-07,473.8,374.9,145.5,274.4,386.6,476.2,821.8,686.7,1161.2,613.6
2008-08,459.1,362,141.5,267.1,373.8,457.2,800.5,660.7,1169.3,619.8
2008-09,466.8,369.3,144.1,272.5,381.4,466.3,807.8,662.8,1183.3,649.7
2008-10,467.9,368.1,144.9,269.7,379.6,467,815,676.5,1168.3,641
2008-11,481,374.5,149.7,277.4,386.6,471.6,852.9,714.6,1211.9,681.3
2008-12,433,339.6,134.8,252.8,351.6,426,756.7,623.7,1099.1,595.8
2009-01,426.7,335.7,138.8,248.5,347.2,421.6,741.9,604.4,1101.6,639.2
2009-02,412.5,324,132.6,242,334.2,406.1,718.3,576.7,1087.1,552.9
2009-03,412,321.8,129.7,239,332.8,404,722.7,588.3,1078.1,555.5
2009-04,455.3,357.9,142.4,265.9,370.5,449.1,787.6,649.2,1149.5,655
2009-05,496.1,388,152.9,287.9,400.3,489.3,864.9,723.3,1240.8,687.4
2009-06,541.9,427.6,159.4,313.4,443.1,541.4,928.1,772.4,1339,727.8
2009-07,529.2,417.6,158.7,306,430.5,529.8,902.7,750.9,1308.4,685.4
2009-08,507.1,402.8,158.4,301.4,414.2,507.8,856.1,709,1248.7,652.2
2009-09,492.5,389.1,153.2,287.4,402,490.9,840.1,693.8,1234.4,663.9
2009-10,492.5,388.2,154.1,287.6,400.4,490.1,839.8,693.2,1232.9,688
2009-11,497.5,389.5,156.4,288.3,400.9,492.5,859.5,716.8,1247.4,655.4
2009-12,455.9,357.2,145.6,266.4,367.8,449.4,785.4,644.5,1165.3,630.4
2010-01,433.4,343.2,143.2,255.8,354.8,429.8,734.7,598.9,1105.4,607
2010-02,446.1,348.4,142.7,260.1,358.4,438.5,773.4,622.4,1182.4,617.5
2010-03,482.1,373.2,146.6,277.1,384.3,471.8,845.7,693.8,1262,621.8
2010-04,513.5,402.6,156,296,415.2,510.9,880.6,728.3,1296.4,719
2010-05,505.4,396.8,159.5,296.8,408.1,500.1,866.5,721.5,1268.6,671.9
