year,level_1,value
1984,Total,24.4
1984,Chinese,24.7
1984,Malays,23
1984,Indians,23.7
1984,Eurasians,25.2
1984,Caucasians,27.8
1984,Others,25.5
1985,Total,24.5
1985,Chinese,24.8
1985,Malays,23.2
1985,Indians,24
1985,Eurasians,24.8
1985,Caucasians,27.9
1985,Others,25.9
1986,Total,24.7
1986,Chinese,25
1986,Malays,23.5
1986,Indians,24.1
1986,Eurasians,25.5
1986,Caucasians,28.7
1986,Others,26.3
1987,Total,25
1987,Chinese,25.3
1987,Malays,23.7
1987,Indians,24.5
1987,Eurasians,25.7
1987,Caucasians,29
1987,Others,25.8
1988,Total,25.1
1988,Chinese,25.4
1988,Malays,24.1
1988,Indians,24.7
1988,Eurasians,25.8
1988,Caucasians,28.5
1988,Others,26
1989,Total,25.3
1989,Chinese,25.6
1989,Malays,24
1989,Indians,24.9
1989,Eurasians,26.5
1989,Caucasians,27.5
1989,Others,26.4
1990,Total,25.6
1990,Chinese,25.9
1990,Malays,24.4
1990,Indians,25
1990,Eurasians,26.5
1990,Caucasians,28.2
1990,Others,26.3
1991,Total,25.6
1991,Chinese,25.9
1991,Malays,24.5
1991,Indians,25.1
1991,Eurasians,27.5
1991,Caucasians,29.9
1991,Others,26.1
1992,Total,25.8
1992,Chinese,26
1992,Malays,24.7
1992,Indians,25.3
1992,Eurasians,26.8
1992,Caucasians,31.6
1992,Others,27.2
1993,Total,25.9
1993,Chinese,26
1993,Malays,25
1993,Indians,25.8
1993,Eurasians,27.4
1993,Caucasians,31.3
1993,Others,27
1994,Total,26
1994,Chinese,26.1
1994,Malays,25
1994,Indians,25.5
1994,Eurasians,28.2
1994,Caucasians,29.5
1994,Others,26.6
1995,Total,26
1995,Chinese,26
1995,Malays,25
1995,Indians,25.7
1995,Eurasians,26.8
1995,Caucasians,30
1995,Others,27
1996,Total,26.1
1996,Chinese,26.2
1996,Malays,25.1
1996,Indians,25.8
1996,Eurasians,27.5
1996,Caucasians,29.7
1996,Others,27.3
1997,Total,26.1
1997,Chinese,26.1
1997,Malays,25.4
1997,Indians,25.7
1997,Eurasians,26.7
1997,Caucasians,30.6
1997,Others,27.3
1998,Total,26.2
1998,Chinese,26.3
1998,Malays,25.3
1998,Indians,26
1998,Eurasians,27.4
1998,Caucasians,29.7
1998,Others,27.5
1999,Total,26.4
1999,Chinese,26.5
1999,Malays,25.6
1999,Indians,26.2
1999,Eurasians,27.9
1999,Caucasians,30.7
1999,Others,27.7
2000,Total,26.7
2000,Chinese,26.7
2000,Malays,25.6
2000,Indians,26.6
2000,Eurasians,28
2000,Caucasians,30.1
2000,Others,28.2
2001,Total,26.7
2001,Chinese,26.8
2001,Malays,25.6
2001,Indians,25.9
2001,Eurasians,27.4
2001,Caucasians,31.8
2001,Others,27.6
2002,Total,26.7
2002,Chinese,26.9
2002,Malays,25.5
2002,Indians,26.2
2002,Eurasians,28
2002,Caucasians,31.3
2002,Others,27.9
2003,Total,27
2003,Chinese,27.1
2003,Malays,25.6
2003,Indians,26.4
2003,Eurasians,28.3
2003,Caucasians,31.4
2003,Others,28.1
2004,Total,27.3
2004,Chinese,27.5
2004,Malays,26
2004,Indians,26.4
2004,Eurasians,28.3
2004,Caucasians,31
2004,Others,28
2005,Total,27.5
2005,Chinese,27.8
2005,Malays,26
2005,Indians,26.8
2005,Eurasians,28.9
2005,Caucasians,32.4
2005,Others,27.1
2006,Total,27.6
2006,Chinese,27.9
2006,Malays,26.4
2006,Indians,26.9
2006,Eurasians,29.9
2006,Caucasians,31.3
2006,Others,27.4
2007,Total,27.9
2007,Chinese,28.1
2007,Malays,26.6
2007,Indians,26.9
2007,Eurasians,28.6
2007,Caucasians,32.4
2007,Others,27.6
2008,Total,28
2008,Chinese,28.2
2008,Malays,26.6
2008,Indians,27
2008,Eurasians,29.1
2008,Caucasians,32.4
2008,Others,27.5
2009,Total,28.1
2009,Chinese,28.4
2009,Malays,26.9
2009,Indians,27.2
2009,Eurasians,29.6
2009,Caucasians,32.6
2009,Others,27.7
2010,Total,28.3
2010,Chinese,28.7
2010,Malays,27.1
2010,Indians,27.7
2010,Eurasians,28.9
2010,Caucasians,32.5
2010,Others,27.9
2011,Total,28.6
2011,Chinese,28.9
2011,Malays,27.1
2011,Indians,27.7
2011,Eurasians,29.8
2011,Caucasians,32
2011,Others,28.5
2012,Total,28.6
2012,Chinese,28.9
2012,Malays,27
2012,Indians,27.5
2012,Eurasians,28.1
2012,Caucasians,32.1
2012,Others,28.6
2013,Total,28.8
2013,Chinese,29
2013,Malays,27.4
2013,Indians,27.9
2013,Eurasians,30.5
2013,Caucasians,31.7
2013,Others,29.1
2014,Total,28.8
2014,Chinese,29.1
2014,Malays,27.2
2014,Indians,27.8
2014,Eurasians,28.9
2014,Caucasians,32.2
2014,Others,29.1
2015,Total,28.9
2015,Chinese,29.1
2015,Malays,27.4
2015,Indians,28.2
2015,Eurasians,30.1
2015,Caucasians,31.8
2015,Others,29.5
2016,Total,28.8
2016,Chinese,29
2016,Malays,27.5
2016,Indians,28.2
2016,Eurasians,30.4
2016,Caucasians,32.1
2016,Others,29.5
2017,Total,29
2017,Chinese,29.2
2017,Malays,27.6
2017,Indians,28
2017,Eurasians,30.1
2017,Caucasians,31.7
2017,Others,29.9
2018,Total,29.1
2018,Chinese,29.4
2018,Malays,27.7
2018,Indians,28.5
2018,Eurasians,29.8
2018,Caucasians,32
2018,Others,30
2019,Total,29.4
2019,Chinese,29.7
2019,Malays,27.9
2019,Indians,28.7
2019,Eurasians,30.5
2019,Caucasians,31.5
2019,Others,30.5
2020,Total,29.4
2020,Chinese,29.7
2020,Malays,27.6
2020,Indians,28.9
2020,Eurasians,30.4
2020,Caucasians,32.6
2020,Others,30.2
